,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
2,0,講義,名詞,サ変接続,*,*,講義,36
4,0,履修,名詞,サ変接続,*,*,履修,36
8,0,次,名詞,一般,*,*,次,38
10,0,能力,名詞,一般,*,*,能力,38
12,0,修得,名詞,サ変接続,*,*,修得,36
18,0,粘性,名詞,一般,*,*,粘性,38
19,0,流体,名詞,一般,*,*,流体,38
21,0,基礎方程式,名詞,固有名詞,一般,*,基礎方程式,41
23,0,導出,名詞,サ変接続,*,*,導出,36
24,0,できる,動詞,自立,*,*,できる,31
29,0,代表,名詞,サ変接続,*,*,代表,36
30,0,的,名詞,接尾,形容動詞語幹,*,的,52
32,0,平行,名詞,形容動詞語幹,*,*,平行,40
33,0,流,名詞,接尾,一般,*,流,51
35,0,ナビエ・ストークス方程式,名詞,固有名詞,一般,*,ナビエ・ストークス方程式,41
37,0,解,名詞,サ変接続,*,*,解,36
39,0,得る,動詞,自立,*,*,得る,31
42,0,できる,動詞,自立,*,*,できる,31
46,0,境界層,名詞,固有名詞,一般,*,境界層,41
48,0,基礎的,名詞,固有名詞,一般,*,基礎的,41
49,0,事項,名詞,一般,*,*,事項,38
51,0,説明,名詞,サ変接続,*,*,説明,36
55,0,できる,動詞,自立,*,*,できる,31
60,0,ストークス,名詞,固有名詞,一般,*,ストークス,41
61,0,近似,名詞,サ変接続,*,*,近似,36
64,0,近似,名詞,サ変接続,*,*,近似,36
66,0,説明,名詞,サ変接続,*,*,説明,36
67,0,でき,動詞,自立,*,*,できる,31
69,0,粘性,名詞,一般,*,*,粘性,38
70,0,流,名詞,接尾,一般,*,流,51
72,0,摩擦,名詞,サ変接続,*,*,摩擦,36
73,0,抵抗,名詞,サ変接続,*,*,抵抗,36
75,0,圧力,名詞,一般,*,*,圧力,38
76,0,抵抗,名詞,サ変接続,*,*,抵抗,36
78,0,導く,動詞,自立,*,*,導く,31
81,0,できる,動詞,自立,*,*,できる,31
85,0,圧縮,名詞,サ変接続,*,*,圧縮,36
86,0,性,名詞,接尾,一般,*,性,51
87,0,流体,名詞,一般,*,*,流体,38
89,0,基本,名詞,一般,*,*,基本,38
90,0,事項,名詞,一般,*,*,事項,38
92,0,説明,名詞,サ変接続,*,*,説明,36
93,0,できる,動詞,自立,*,*,できる,31
97,0,講義,名詞,サ変接続,*,*,講義,36
99,0,履修,名詞,サ変接続,*,*,履修,36
103,0,次,名詞,一般,*,*,次,38
105,0,能力,名詞,一般,*,*,能力,38
107,0,修得,名詞,サ変接続,*,*,修得,36
113,0,粘性,名詞,一般,*,*,粘性,38
114,0,流体,名詞,一般,*,*,流体,38
116,0,基礎方程式,名詞,固有名詞,一般,*,基礎方程式,41
118,0,導出,名詞,サ変接続,*,*,導出,36
119,0,できる,動詞,自立,*,*,できる,31
124,0,代表,名詞,サ変接続,*,*,代表,36
125,0,的,名詞,接尾,形容動詞語幹,*,的,52
127,0,平行,名詞,形容動詞語幹,*,*,平行,40
128,0,流,名詞,接尾,一般,*,流,51
130,0,ナビエ・ストークス方程式,名詞,固有名詞,一般,*,ナビエ・ストークス方程式,41
132,0,解,名詞,サ変接続,*,*,解,36
134,0,得る,動詞,自立,*,*,得る,31
137,0,できる,動詞,自立,*,*,できる,31
141,0,境界層,名詞,固有名詞,一般,*,境界層,41
143,0,基礎的,名詞,固有名詞,一般,*,基礎的,41
144,0,事項,名詞,一般,*,*,事項,38
146,0,説明,名詞,サ変接続,*,*,説明,36
150,0,できる,動詞,自立,*,*,できる,31
155,0,ストークス,名詞,固有名詞,一般,*,ストークス,41
156,0,近似,名詞,サ変接続,*,*,近似,36
159,0,近似,名詞,サ変接続,*,*,近似,36
161,0,説明,名詞,サ変接続,*,*,説明,36
162,0,でき,動詞,自立,*,*,できる,31
164,0,粘性,名詞,一般,*,*,粘性,38
165,0,流,名詞,接尾,一般,*,流,51
167,0,摩擦,名詞,サ変接続,*,*,摩擦,36
168,0,抵抗,名詞,サ変接続,*,*,抵抗,36
170,0,圧力,名詞,一般,*,*,圧力,38
171,0,抵抗,名詞,サ変接続,*,*,抵抗,36
173,0,導く,動詞,自立,*,*,導く,31
176,0,できる,動詞,自立,*,*,できる,31
180,0,圧縮,名詞,サ変接続,*,*,圧縮,36
181,0,性,名詞,接尾,一般,*,性,51
182,0,流体,名詞,一般,*,*,流体,38
184,0,基本,名詞,一般,*,*,基本,38
185,0,事項,名詞,一般,*,*,事項,38
187,0,説明,名詞,サ変接続,*,*,説明,36
188,0,できる,動詞,自立,*,*,できる,31
192,0,講義,名詞,サ変接続,*,*,講義,36
194,0,履修,名詞,サ変接続,*,*,履修,36
198,0,次,名詞,一般,*,*,次,38
200,0,能力,名詞,一般,*,*,能力,38
202,0,修得,名詞,サ変接続,*,*,修得,36
208,0,粘性,名詞,一般,*,*,粘性,38
209,0,流体,名詞,一般,*,*,流体,38
211,0,基礎方程式,名詞,固有名詞,一般,*,基礎方程式,41
213,0,導出,名詞,サ変接続,*,*,導出,36
214,0,できる,動詞,自立,*,*,できる,31
219,0,代表,名詞,サ変接続,*,*,代表,36
220,0,的,名詞,接尾,形容動詞語幹,*,的,52
222,0,平行,名詞,形容動詞語幹,*,*,平行,40
223,0,流,名詞,接尾,一般,*,流,51
225,0,ナビエ・ストークス方程式,名詞,固有名詞,一般,*,ナビエ・ストークス方程式,41
227,0,解,名詞,サ変接続,*,*,解,36
229,0,得る,動詞,自立,*,*,得る,31
232,0,できる,動詞,自立,*,*,できる,31
236,0,境界層,名詞,固有名詞,一般,*,境界層,41
238,0,基礎的,名詞,固有名詞,一般,*,基礎的,41
239,0,事項,名詞,一般,*,*,事項,38
