,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,吸収,名詞,サ変接続,*,*,吸収,36
1,0,スペクトル,名詞,一般,*,*,スペクトル,38
2,0,色素,名詞,一般,*,*,色素,38
3,0,再結晶,名詞,固有名詞,一般,*,再結晶,41
7,0,反応,名詞,サ変接続,*,*,反応,36
8,0,反応,名詞,サ変接続,*,*,反応,36
9,0,速度定数,名詞,固有名詞,一般,*,速度定数,41
13,0,配向性,名詞,固有名詞,一般,*,配向性,41
14,0,指示薬,名詞,一般,*,*,指示薬,38
15,0,解離定数,名詞,固有名詞,一般,*,解離定数,41
17,0,試験,名詞,サ変接続,*,*,試験,36
18,0,旋光,名詞,固有名詞,一般,*,旋光,41
20,0,フラボノイド,名詞,固有名詞,一般,*,フラボノイド,41
21,0,フェノール,名詞,一般,*,*,フェノール,38
22,0,性,名詞,接尾,一般,*,性,51
23,0,水酸基,名詞,一般,*,*,水酸基,38
24,0,吸収,名詞,サ変接続,*,*,吸収,36
25,0,スペクトル,名詞,一般,*,*,スペクトル,38
26,0,色素,名詞,一般,*,*,色素,38
27,0,再結晶,名詞,固有名詞,一般,*,再結晶,41
31,0,反応,名詞,サ変接続,*,*,反応,36
32,0,反応,名詞,サ変接続,*,*,反応,36
33,0,速度定数,名詞,固有名詞,一般,*,速度定数,41
37,0,配向性,名詞,固有名詞,一般,*,配向性,41
38,0,指示薬,名詞,一般,*,*,指示薬,38
39,0,解離定数,名詞,固有名詞,一般,*,解離定数,41
41,0,試験,名詞,サ変接続,*,*,試験,36
42,0,旋光,名詞,固有名詞,一般,*,旋光,41
44,0,フラボノイド,名詞,固有名詞,一般,*,フラボノイド,41
45,0,フェノール,名詞,一般,*,*,フェノール,38
46,0,性,名詞,接尾,一般,*,性,51
47,0,水酸基,名詞,一般,*,*,水酸基,38
48,0,吸収,名詞,サ変接続,*,*,吸収,36
49,0,スペクトル,名詞,一般,*,*,スペクトル,38
50,0,色素,名詞,一般,*,*,色素,38
51,0,再結晶,名詞,固有名詞,一般,*,再結晶,41
55,0,反応,名詞,サ変接続,*,*,反応,36
56,0,反応,名詞,サ変接続,*,*,反応,36
57,0,速度定数,名詞,固有名詞,一般,*,速度定数,41
61,0,配向性,名詞,固有名詞,一般,*,配向性,41
62,0,指示薬,名詞,一般,*,*,指示薬,38
63,0,解離定数,名詞,固有名詞,一般,*,解離定数,41
65,0,試験,名詞,サ変接続,*,*,試験,36
66,0,旋光,名詞,固有名詞,一般,*,旋光,41
68,0,フラボノイド,名詞,固有名詞,一般,*,フラボノイド,41
69,0,フェノール,名詞,一般,*,*,フェノール,38
70,0,性,名詞,接尾,一般,*,性,51
71,0,水酸基,名詞,一般,*,*,水酸基,38
72,0,吸収,名詞,サ変接続,*,*,吸収,36
73,0,スペクトル,名詞,一般,*,*,スペクトル,38
74,0,色素,名詞,一般,*,*,色素,38
75,0,再結晶,名詞,固有名詞,一般,*,再結晶,41
79,0,反応,名詞,サ変接続,*,*,反応,36
80,0,反応,名詞,サ変接続,*,*,反応,36
81,0,速度定数,名詞,固有名詞,一般,*,速度定数,41
85,0,配向性,名詞,固有名詞,一般,*,配向性,41
86,0,指示薬,名詞,一般,*,*,指示薬,38
87,0,解離定数,名詞,固有名詞,一般,*,解離定数,41
89,0,試験,名詞,サ変接続,*,*,試験,36
90,0,旋光,名詞,固有名詞,一般,*,旋光,41
92,0,フラボノイド,名詞,固有名詞,一般,*,フラボノイド,41
