,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
3,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
4,0,演習,名詞,サ変接続,*,*,演習,36
7,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
8,0,演習,名詞,サ変接続,*,*,演習,36
11,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
14,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
15,0,演習,名詞,サ変接続,*,*,演習,36
18,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
19,0,演習,名詞,サ変接続,*,*,演習,36
22,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
25,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
26,0,演習,名詞,サ変接続,*,*,演習,36
29,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
30,0,演習,名詞,サ変接続,*,*,演習,36
33,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
36,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
37,0,演習,名詞,サ変接続,*,*,演習,36
40,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
41,0,演習,名詞,サ変接続,*,*,演習,36
