Unnamed: 0,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
1,0,講義,名詞,サ変接続,*,*,講義,36
3,0,履修,名詞,サ変接続,*,*,履修,36
7,0,次,名詞,一般,*,*,次,38
9,0,能力,名詞,一般,*,*,能力,38
11,0,修得,名詞,サ変接続,*,*,修得,36
16,0,発電,名詞,サ変接続,*,*,発電,36
18,0,送電,名詞,サ変接続,*,*,送電,36
20,0,変電,名詞,一般,*,*,変電,38
22,0,基礎,名詞,一般,*,*,基礎,38
23,0,原理,名詞,一般,*,*,原理,38
25,0,理解,名詞,サ変接続,*,*,理解,36
26,0,でき,動詞,自立,*,*,できる,31
28,0,火力,名詞,一般,*,*,火力,38
30,0,水力,名詞,一般,*,*,水力,38
32,0,原子力発電,名詞,固有名詞,一般,*,原子力発電,41
33,0,プラント,名詞,一般,*,*,プラント,38
35,0,計画,名詞,サ変接続,*,*,計画,36
37,0,設計,名詞,サ変接続,*,*,設計,36
40,0,運用,名詞,サ変接続,*,*,運用,36
42,0,要点,名詞,一般,*,*,要点,38
44,0,説明,名詞,サ変接続,*,*,説明,36
45,0,できる,動詞,自立,*,*,できる,31
49,0,関連,名詞,サ変接続,*,*,関連,36
51,0,流体力学,名詞,固有名詞,一般,*,流体力学,41
53,0,熱力学,名詞,固有名詞,一般,*,熱力学,41
55,0,燃焼,名詞,サ変接続,*,*,燃焼,36
56,0,学,名詞,接尾,一般,*,学,51
58,0,電気化学,名詞,固有名詞,一般,*,電気化学,41
59,0,反応,名詞,サ変接続,*,*,反応,36
61,0,原子核反応,名詞,固有名詞,一般,*,原子核反応,41
63,0,基礎,名詞,一般,*,*,基礎,38
65,0,環境問題,名詞,固有名詞,一般,*,環境問題,41
68,0,応用,名詞,サ変接続,*,*,応用,36
70,0,至る,動詞,自立,*,*,至る,31
71,0,幅広い,形容詞,自立,*,*,幅広い,10
72,0,分野,名詞,一般,*,*,分野,38
74,0,理解,名詞,サ変接続,*,*,理解,36
75,0,できる,動詞,自立,*,*,できる,31
79,0,電気事業,名詞,固有名詞,一般,*,電気事業,41
81,0,技術開発,名詞,固有名詞,一般,*,技術開発,41
83,0,現状,名詞,一般,*,*,現状,38
85,0,展望,名詞,サ変接続,*,*,展望,36
87,0,説明,名詞,サ変接続,*,*,説明,36
88,0,できる,動詞,自立,*,*,できる,31
91,0,講義,名詞,サ変接続,*,*,講義,36
93,0,履修,名詞,サ変接続,*,*,履修,36
97,0,次,名詞,一般,*,*,次,38
99,0,能力,名詞,一般,*,*,能力,38
101,0,修得,名詞,サ変接続,*,*,修得,36
106,0,発電,名詞,サ変接続,*,*,発電,36
108,0,送電,名詞,サ変接続,*,*,送電,36
110,0,変電,名詞,一般,*,*,変電,38
112,0,基礎,名詞,一般,*,*,基礎,38
113,0,原理,名詞,一般,*,*,原理,38
115,0,理解,名詞,サ変接続,*,*,理解,36
116,0,でき,動詞,自立,*,*,できる,31
118,0,火力,名詞,一般,*,*,火力,38
120,0,水力,名詞,一般,*,*,水力,38
122,0,原子力発電,名詞,固有名詞,一般,*,原子力発電,41
123,0,プラント,名詞,一般,*,*,プラント,38
125,0,計画,名詞,サ変接続,*,*,計画,36
127,0,設計,名詞,サ変接続,*,*,設計,36
130,0,運用,名詞,サ変接続,*,*,運用,36
132,0,要点,名詞,一般,*,*,要点,38
134,0,説明,名詞,サ変接続,*,*,説明,36
135,0,できる,動詞,自立,*,*,できる,31
139,0,関連,名詞,サ変接続,*,*,関連,36
141,0,流体力学,名詞,固有名詞,一般,*,流体力学,41
143,0,熱力学,名詞,固有名詞,一般,*,熱力学,41
145,0,燃焼,名詞,サ変接続,*,*,燃焼,36
146,0,学,名詞,接尾,一般,*,学,51
148,0,電気化学,名詞,固有名詞,一般,*,電気化学,41
149,0,反応,名詞,サ変接続,*,*,反応,36
151,0,原子核反応,名詞,固有名詞,一般,*,原子核反応,41
153,0,基礎,名詞,一般,*,*,基礎,38
155,0,環境問題,名詞,固有名詞,一般,*,環境問題,41
158,0,応用,名詞,サ変接続,*,*,応用,36
160,0,至る,動詞,自立,*,*,至る,31
161,0,幅広い,形容詞,自立,*,*,幅広い,10
162,0,分野,名詞,一般,*,*,分野,38
164,0,理解,名詞,サ変接続,*,*,理解,36
165,0,できる,動詞,自立,*,*,できる,31
169,0,電気事業,名詞,固有名詞,一般,*,電気事業,41
171,0,技術開発,名詞,固有名詞,一般,*,技術開発,41
173,0,現状,名詞,一般,*,*,現状,38
175,0,展望,名詞,サ変接続,*,*,展望,36
177,0,説明,名詞,サ変接続,*,*,説明,36
178,0,できる,動詞,自立,*,*,できる,31
180,0,対応,名詞,サ変接続,*,*,対応,36
182,0,学修,名詞,サ変接続,*,*,学修,36
183,0,到達,名詞,サ変接続,*,*,到達,36
184,0,目標,名詞,一般,*,*,目標,38
191,0,専門,名詞,一般,*,*,専門,38
192,0,力,名詞,接尾,一般,*,力,51
194,0,基盤,名詞,一般,*,*,基盤,38
195,0,的,名詞,接尾,形容動詞語幹,*,的,52
197,0,専門,名詞,一般,*,*,専門,38
198,0,力,名詞,接尾,一般,*,力,51
203,0,展開,名詞,サ変接続,*,*,展開,36
204,0,力,名詞,接尾,一般,*,力,51
207,0,探究,名詞,サ変接続,*,*,探究,36
208,0,力,名詞,接尾,一般,*,力,51
210,0,設定,名詞,サ変接続,*,*,設定,36
211,0,力,名詞,接尾,一般,*,力,51
213,0,整理,名詞,サ変接続,*,*,整理,36
215,0,分析,名詞,サ変接続,*,*,分析,36
216,0,できる,動詞,自立,*,*,できる,31
217,0,力,名詞,一般,*,*,力,38
221,0,幅広い,形容詞,自立,*,*,幅広い,10
222,0,専門知識,名詞,固有名詞,一般,*,専門知識,41
224,0,習得,名詞,サ変接続,*,*,習得,36
228,0,高度,名詞,形容動詞語幹,*,*,高度,40
230,0,専門,名詞,一般,*,*,専門,38
231,0,分野,名詞,一般,*,*,分野,38
234,0,分野,名詞,一般,*,*,分野,38
236,0,自ら,名詞,副詞可能,*,*,自ら,67
237,0,学修,名詞,サ変接続,*,*,学修,36
239,0,広げる,動詞,自立,*,*,広げる,31
240,0,力本,名詞,固有名詞,人名,姓,力本,43
241,0,講義,名詞,サ変接続,*,*,講義,36
243,0,履修,名詞,サ変接続,*,*,履修,36
247,0,次,名詞,一般,*,*,次,38
249,0,能力,名詞,一般,*,*,能力,38
251,0,修得,名詞,サ変接続,*,*,修得,36
256,0,発電,名詞,サ変接続,*,*,発電,36
258,0,送電,名詞,サ変接続,*,*,送電,36
260,0,変電,名詞,一般,*,*,変電,38
262,0,基礎,名詞,一般,*,*,基礎,38
263,0,原理,名詞,一般,*,*,原理,38
265,0,理解,名詞,サ変接続,*,*,理解,36
266,0,でき,動詞,自立,*,*,できる,31
268,0,水力,名詞,一般,*,*,水力,38
270,0,火力,名詞,一般,*,*,火力,38
272,0,原子力発電,名詞,固有名詞,一般,*,原子力発電,41
273,0,プラント,名詞,一般,*,*,プラント,38
275,0,計画,名詞,サ変接続,*,*,計画,36
277,0,設計,名詞,サ変接続,*,*,設計,36
280,0,運用,名詞,サ変接続,*,*,運用,36
282,0,要点,名詞,一般,*,*,要点,38
284,0,説明,名詞,サ変接続,*,*,説明,36
285,0,できる,動詞,自立,*,*,できる,31
289,0,関連,名詞,サ変接続,*,*,関連,36
291,0,流体力学,名詞,固有名詞,一般,*,流体力学,41
293,0,熱力学,名詞,固有名詞,一般,*,熱力学,41
295,0,燃焼,名詞,サ変接続,*,*,燃焼,36
296,0,学,名詞,接尾,一般,*,学,51
298,0,電気化学,名詞,固有名詞,一般,*,電気化学,41
299,0,反応,名詞,サ変接続,*,*,反応,36
301,0,基礎,名詞,一般,*,*,基礎,38
303,0,環境問題,名詞,固有名詞,一般,*,環境問題,41
306,0,応用,名詞,サ変接続,*,*,応用,36
308,0,至る,動詞,自立,*,*,至る,31
309,0,幅広い,形容詞,自立,*,*,幅広い,10
310,0,分野,名詞,一般,*,*,分野,38
312,0,理解,名詞,サ変接続,*,*,理解,36
313,0,できる,動詞,自立,*,*,できる,31
317,0,電気事業,名詞,固有名詞,一般,*,電気事業,41
319,0,技術開発,名詞,固有名詞,一般,*,技術開発,41
321,0,現状,名詞,一般,*,*,現状,38
323,0,展望,名詞,サ変接続,*,*,展望,36
325,0,説明,名詞,サ変接続,*,*,説明,36
326,0,できる,動詞,自立,*,*,できる,31
329,0,講義,名詞,サ変接続,*,*,講義,36
331,0,履修,名詞,サ変接続,*,*,履修,36
335,0,次,名詞,一般,*,*,次,38
337,0,能力,名詞,一般,*,*,能力,38
339,0,修得,名詞,サ変接続,*,*,修得,36
344,0,発電,名詞,サ変接続,*,*,発電,36
346,0,送電,名詞,サ変接続,*,*,送電,36
348,0,変電,名詞,一般,*,*,変電,38
350,0,基礎,名詞,一般,*,*,基礎,38
351,0,原理,名詞,一般,*,*,原理,38
353,0,理解,名詞,サ変接続,*,*,理解,36
354,0,でき,動詞,自立,*,*,できる,31
356,0,火力,名詞,一般,*,*,火力,38
358,0,水力,名詞,一般,*,*,水力,38
360,0,原子力発電,名詞,固有名詞,一般,*,原子力発電,41
361,0,プラント,名詞,一般,*,*,プラント,38
363,0,計画,名詞,サ変接続,*,*,計画,36
365,0,設計,名詞,サ変接続,*,*,設計,36
368,0,運用,名詞,サ変接続,*,*,運用,36
370,0,要点,名詞,一般,*,*,要点,38
372,0,説明,名詞,サ変接続,*,*,説明,36
373,0,できる,動詞,自立,*,*,できる,31
377,0,関連,名詞,サ変接続,*,*,関連,36
379,0,流体力学,名詞,固有名詞,一般,*,流体力学,41
381,0,熱力学,名詞,固有名詞,一般,*,熱力学,41
383,0,燃焼,名詞,サ変接続,*,*,燃焼,36
384,0,学,名詞,接尾,一般,*,学,51
386,0,電気化学,名詞,固有名詞,一般,*,電気化学,41
387,0,反応,名詞,サ変接続,*,*,反応,36
389,0,原子核反応,名詞,固有名詞,一般,*,原子核反応,41
391,0,基礎,名詞,一般,*,*,基礎,38
393,0,環境問題,名詞,固有名詞,一般,*,環境問題,41
396,0,応用,名詞,サ変接続,*,*,応用,36
398,0,至る,動詞,自立,*,*,至る,31
399,0,幅広い,形容詞,自立,*,*,幅広い,10
400,0,分野,名詞,一般,*,*,分野,38
402,0,理解,名詞,サ変接続,*,*,理解,36
403,0,できる,動詞,自立,*,*,できる,31
407,0,電気事業,名詞,固有名詞,一般,*,電気事業,41
409,0,技術開発,名詞,固有名詞,一般,*,技術開発,41
411,0,現状,名詞,一般,*,*,現状,38
413,0,展望,名詞,サ変接続,*,*,展望,36
415,0,説明,名詞,サ変接続,*,*,説明,36
416,0,できる,動詞,自立,*,*,できる,31
418,0,対応,名詞,サ変接続,*,*,対応,36
420,0,学修,名詞,サ変接続,*,*,学修,36
421,0,到達,名詞,サ変接続,*,*,到達,36
422,0,目標,名詞,一般,*,*,目標,38
429,0,専門,名詞,一般,*,*,専門,38
430,0,力,名詞,接尾,一般,*,力,51
432,0,基盤,名詞,一般,*,*,基盤,38
433,0,的,名詞,接尾,形容動詞語幹,*,的,52
435,0,専門,名詞,一般,*,*,専門,38
436,0,力,名詞,接尾,一般,*,力,51
441,0,展開,名詞,サ変接続,*,*,展開,36
442,0,力,名詞,接尾,一般,*,力,51
445,0,探究,名詞,サ変接続,*,*,探究,36
446,0,力,名詞,接尾,一般,*,力,51
448,0,設定,名詞,サ変接続,*,*,設定,36
449,0,力,名詞,接尾,一般,*,力,51
451,0,整理,名詞,サ変接続,*,*,整理,36
453,0,分析,名詞,サ変接続,*,*,分析,36
454,0,できる,動詞,自立,*,*,できる,31
455,0,力,名詞,一般,*,*,力,38
459,0,幅広い,形容詞,自立,*,*,幅広い,10
460,0,専門知識,名詞,固有名詞,一般,*,専門知識,41
462,0,習得,名詞,サ変接続,*,*,習得,36
466,0,高度,名詞,形容動詞語幹,*,*,高度,40
468,0,専門,名詞,一般,*,*,専門,38
469,0,分野,名詞,一般,*,*,分野,38
472,0,分野,名詞,一般,*,*,分野,38
474,0,自ら,名詞,副詞可能,*,*,自ら,67
475,0,学修,名詞,サ変接続,*,*,学修,36
477,0,広げる,動詞,自立,*,*,広げる,31
478,0,力本,名詞,固有名詞,人名,姓,力本,43
479,0,講義,名詞,サ変接続,*,*,講義,36
481,0,履修,名詞,サ変接続,*,*,履修,36
485,0,次,名詞,一般,*,*,次,38
487,0,能力,名詞,一般,*,*,能力,38
489,0,修得,名詞,サ変接続,*,*,修得,36
494,0,発電,名詞,サ変接続,*,*,発電,36
