,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
1,0,講義,名詞,サ変接続,*,*,講義,36
3,0,履修,名詞,サ変接続,*,*,履修,36
8,0,以下,名詞,非自立,副詞可能,*,以下,66
10,0,有機,名詞,一般,*,*,有機,38
11,0,化合,名詞,サ変接続,*,*,化合,36
12,0,物,名詞,接尾,一般,*,物,51
14,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
16,0,知識,名詞,一般,*,*,知識,38
18,0,習得,名詞,サ変接続,*,*,習得,36
22,0,できる,動詞,自立,*,*,できる,31
31,0,アルコール,名詞,一般,*,*,アルコール,38
33,0,糖,名詞,一般,*,*,糖,38
41,0,芳香族化合物,名詞,固有名詞,一般,*,芳香族化合物,41
49,0,カルボン酸,名詞,固有名詞,一般,*,カルボン酸,41
52,0,誘導体,名詞,一般,*,*,誘導体,38
56,0,アミン,名詞,固有名詞,一般,*,amin,41
58,0,アミノ酸,名詞,一般,*,*,アミノ酸,38
60,0,講義,名詞,サ変接続,*,*,講義,36
62,0,履修,名詞,サ変接続,*,*,履修,36
66,0,次,名詞,一般,*,*,次,38
68,0,能力,名詞,一般,*,*,能力,38
70,0,修得,名詞,サ変接続,*,*,修得,36
75,0,生命,名詞,一般,*,*,生命,38
76,0,理工学,名詞,固有名詞,一般,*,理工学,41
77,0,関連,名詞,サ変接続,*,*,関連,36
79,0,研究,名詞,サ変接続,*,*,研究,36
80,0,分野,名詞,一般,*,*,分野,38
82,0,最先端,名詞,一般,*,*,最先端,38
84,0,研究,名詞,サ変接続,*,*,研究,36
88,0,背景,名詞,一般,*,*,背景,38
90,0,基礎,名詞,一般,*,*,基礎,38
92,0,最新,名詞,一般,*,*,最新,38
94,0,展開,名詞,サ変接続,*,*,展開,36
97,0,説明,名詞,サ変接続,*,*,説明,36
98,0,できる,動詞,自立,*,*,できる,31
105,0,得,動詞,自立,*,*,得る,31
107,0,知識,名詞,一般,*,*,知識,38
109,0,自分自身,名詞,固有名詞,一般,*,自分自身,41
111,0,勉学,名詞,サ変接続,*,*,勉学,36
113,0,研究,名詞,サ変接続,*,*,研究,36
115,0,活かす,動詞,自立,*,*,活かす,31
118,0,できる,動詞,自立,*,*,できる,31
121,0,講義,名詞,サ変接続,*,*,講義,36
123,0,履修,名詞,サ変接続,*,*,履修,36
128,0,以下,名詞,非自立,副詞可能,*,以下,66
130,0,有機,名詞,一般,*,*,有機,38
131,0,化合,名詞,サ変接続,*,*,化合,36
132,0,物,名詞,接尾,一般,*,物,51
134,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
136,0,知識,名詞,一般,*,*,知識,38
138,0,習得,名詞,サ変接続,*,*,習得,36
142,0,できる,動詞,自立,*,*,できる,31
151,0,アルコール,名詞,一般,*,*,アルコール,38
153,0,糖,名詞,一般,*,*,糖,38
161,0,芳香族化合物,名詞,固有名詞,一般,*,芳香族化合物,41
169,0,カルボン酸,名詞,固有名詞,一般,*,カルボン酸,41
172,0,誘導体,名詞,一般,*,*,誘導体,38
176,0,アミン,名詞,固有名詞,一般,*,amin,41
178,0,アミノ酸,名詞,一般,*,*,アミノ酸,38
